13726230503	2481	24681	213
13826544101	123	234	123
13926435656	123	45	234
13926251106	234	56	234
18211575961	456	67	345
84138413	23	78	657
13560439658	56	466	546
15920133257	234	4623	456
13719199419	123	324	657
13660577991	78	245	879
15013685858	45	455	56
15989002119	67	3452	89
13560439658	78	345	123
13480253104	89	124	456
13602846565	90	2344	34
13922314466	13	2344	45
13502468823	151	25	6778
18320173382	156	255	78
13925057413	345	2552	45
13760778710	346	466	89
13726238888	67	234	23
13560436666	879	67	123
